COSING Ref No,INCI name,INN name,Ph. Eur. Name,CAS No,EC No,Chem/IUPAC Name / Description,Restriction,Function,Update Date
5734100%,NEPHELIUM LAPPACEUM BRANCH/FRUIT/LEAF EXTRACT,,, 93165-68-5, 296-955-8,"Nephelium Lappaceum Branch/Root/Leaf Extract is an extract of the branches, leaves and fruit of Nephelium lappaceum, Sapindaceae",,SKIN CONDITIONING,4046600%
9733100%,NEPHELIUM LAPPACEUM LEAF EXTRACT,,, , ,"Nephelium Lappaceum Leaf Extract is the extract of the leaves of Nephelium lappaceum, Sapindaceae. ",,SKIN CONDITIONING,4376100%
5734200%,NEPHELIUM LAPPACEUM PEEL EXTRACT,,, 93165-68-5, 296-955-8,"Nephelium Lappaceum Peel Extract is an extract of the peel of the fruits of Nephelium lappaceum, Sapindaceae",,SKIN CONDITIONING,4046600%
8587000%,NEPHELIUM LONGANA FRUIT EXTRACT,,, -, -,"Nephelium Longana Fruit Extract is the extract of the fruit of Nephelium longana, Sapindaceae",,SKIN CONDITIONING,4046600%
5734300%,NEPHELIUM LONGANA SEED EXTRACT,,, , ,"Nephelium Longana Seed Extract is an extract of the seeds of Nephelium longana, Sapindaceae",,SKIN CONDITIONING,4046600%
8665000%,NEPHRITE EXTRACT,,, -, -,Nephrite Extract is the extract of nephrite,,"HAIR CONDITIONING, SKIN CONDITIONING",4046600%
5739900%,NEPHRITE POWDER,,, 12174-03-7, ,Nephrite Powder is a powdered mineral aggregate consisting mainly of calcium magnesium silicate CaMg5(OH)2(Si4O11)2,,"ABRASIVE, ANTICAKING, BULKING",4046600%
9347100%,NEPHTHEA COLUMNARIS EXTRACT,,, , ,"Nephthea Columnaris Extract is the extract of the coral,  Nephthea columnaris, Nephtheidae. ",,SKIN CONDITIONING,4230000%
4146000%,NERAL,,, 106-26-3, 203-379-2,"(Z)-3,7-Dimethylocta-2,6-dienal",,PERFUMING,4060400%
8416600%,NEREOCYSTIS LEUTKEANA EXTRACT,,, -, -,"Nereocystis Leutkeana Extract is the extract of the Alga, Nereocystis leutkeana",,"HAIR CONDITIONING, SKIN CONDITIONING",4046600%
9294200%,NEREOCYSTIS LUETKEANA EXTRACT,,, , ,"Nereocystis Luetkeana Extract is the extract of the alga,  Nereocystis luetkeana, Laminariaceae. ",,"HAIR CONDITIONING, SKIN CONDITIONING",4230000%
5740000%,NERIUM OLEANDER LEAF EXTRACT,,, 84929-39-5, 284-522-6,"Nerium Oleander Leaf Extract is an extract of the leaves of the Rosebay, Nerium oleander L., Apocynaceae",,SKIN CONDITIONING,4046600%
4087400%,NEROL,,, 106-25-2, 203-378-7,"cis-3,7-Dimethyl-2,6-octadien-1-ol",,PERFUMING,4060400%
4087800%,NEROL OXIDE,,, 1786-08-9, 217-241-4,"3,6-Dihydro-4-methyl-2-(2-methyl-1-propenyl)-2H-pyran",,PERFUMING,4060400%
4087500%,NEROLIDOL,,, 142-50-7, 205-540-2,"(3S, 6Z)-3,7,11-Trimethyl-1,6,10-dodecatrien-3-ol; peruviol",,PERFUMING,4046600%
4087600%,NEROLIDOL ISOMERS,,, 7212-44-4, 230-597-5,"3,7,11-Trimethyldodeca-1,6,10-trien-3-ol, mixed isomers",,PERFUMING,4060400%
4087700%,NEROLIDYL ACETATE,,, 56001-43-5, 259-941-2,"(s-(Z))-3,7,11-Trimethyl-1,6,10-dodecatrien-3-ol ethanoate",,PERFUMING,4060400%
4087900%,NERYL ACETATE,,, 141-12-8, 205-459-2,"cis-3,7-Dimethyl-2,6-octadienyl ethanoate",,PERFUMING,4060400%
4088000%,NERYL BUTYRATE,,, 999-40-6, 213-660-1,"cis-3,7-Dimethyl-2,6-octadienyl butanoate",,PERFUMING,4060400%
4088100%,NERYL FORMATE,,, 2142-94-1, 218-401-6,"cis-3,7-Dimethyl-2,6-octadienyl methanoate",,PERFUMING,4060400%
4088200%,NERYL ISOBUTYRATE,,, 2345-24-6, 219-061-1,"cis-3,7-Dimethyl-2,6-octadienyl ",,PERFUMING,4060400%
4088300%,NERYL ISOVALERATEATE,,, 3915-83-1, 223-478-4,"cis-3,7-Dimethyl-2,6-octadienyl 3-methyl-butanoate",,PERFUMING,4060400%
4088500%,NERYL PROPIONATE,,, 105-91-9, 203-345-7,"cis-3,7-Dimethyl-2,6-octadienyl propanoate",,PERFUMING,4060400%
3549700%,NEURAL EXTRACT,,, , ,Neural Extract is an extract of mammalian neural tissue,II/419 ,SKIN CONDITIONING,4046600%
3549800%,NIACIN,nicotinic acid,acidum nicotinicum, 59-67-6, 200-441-0,3-Pyridinecarboxylic acid,,"ANTISTATIC, SMOOTHING",4046600%
3549900%,NIACINAMIDE,nicotinamide,nicotinamidum, 98-92-0, 202-713-4,3-Pyridinecarboxamide,,SMOOTHING,4046600%
5740200%,NIACINAMIDE ASCORBATE,,, 1987-71-9, ,3-Pyridinecarboxamide ascorbate,,SKIN CONDITIONING,4046600%
5740300%,NIACINAMIDE GLYCOLATE,,, , ,3-Pyridinecarboxamide hydroxyacetate,,SKIN CONDITIONING,4046600%
5740400%,NIACINAMIDE HYDROXYBENZOATE,,, , ,3-Pyridinecarboxamide hydroxybenzoate,,"ANTIOXIDANT, SKIN CONDITIONING",4046600%
5740500%,NIACINAMIDE HYDROXYCITRATE,,, , ,"3-Pyridinecarboxamide dihydrogen 1,2-dihydroxy-1,2,3-propanetricarboxylate",,SKIN CONDITIONING,4046600%
5740600%,NIACINAMIDE LACTATE,,, , ,3-Pyridinecarboxamide 2-hydroxypropanoate,,SKIN CONDITIONING,4046600%
5721400%,NIACINAMIDE MALATE,,, , ,3-Pyridinecarboxamide hydrogen 2-hydroxybutanedioate,,SKIN CONDITIONING,4046600%
5740700%,NIACINAMIDE MANDELATE,,, , ,3-Pyridinecarboxamide 2-hydroxy-2-phenylacetate,,SKIN CONDITIONING,4046600%
9637500%,NIACINAMIDE RIBOSIDE CHLORIDE,,, 23111-00-4, 807-820-5,"Pyridinium, 3-(aminocarbonyl)-1-β-D-ribofuranosyl-, chloride (1:1)",,"ANTIOXIDANT, SKIN PROTECTING",4358100%
5740800%,NIACINAMIDE SALICYLATE,,, , ,3-Pyridinecarboxamide 2-hydroxybenzoate,,SKIN CONDITIONING,4046600%
5740900%,NIACINAMIDE THIOCTATE,,, , ,"3-Pyridinecarboxamide 1,2-dithiolane-3-pentanoate",,"ANTIOXIDANT, SKIN CONDITIONING",4046600%
8321800%,NIACINAMIDE/YEAST POLYPEPTIDE,,, -, -,Niacinamide/Yeast Polypeptide is the reaction product of Niacinamide with the polypeptides derived from Yeast ,,SKIN CONDITIONING,4046600%
9860500%,NIACINAMIDOETHYL RETINOATE,,, 1642294-93-6 , ,Niacinamidoethyl Retinoate,,BLEACHING,4411600%
8463500%,NICKEL ACETYLMETHIONATE,,, -, -,Nickel Acetylmethionate is the nickel salt of acetylmethionine,,NOT REPORTED,4046600%
9767100%,NICKEL BIS (HYDROXY DIPHENYL METHYL PYRROLIDINO METHYL) PYRIDINEDIYL T-BUTYLISOCYANO PERCHLORATE,,, 2267994-84-1, ,"Nickel(2+), [2-(isocyano-\K.C)-2-methylpropane][(1R,1'R,2S,2'S)-1,1'-[(2,6- pyridinediyl-.\K.N)bis(methylene)]bis[.\a.,.\a.-diphenyl-2-pyrrolidinemethanol.\K.N1,.\K.O2]]-, (OC-6- 14)-, perchlorate (1:2)",,"ANTIOXIDANT, BLEACHING, SKIN CONDITIONING, SKIN PROTECTING",4376100%
8501400%,NICKEL GLUCONATE,,, -, -,Nickel Gluconate is the nickel salt of gluconic acid,,NOT REPORTED,4046600%
9473900%,NICOTIANA BENTHAMIANA HEXAPEPTIDE-40 SH-OLIGOPEPTIDE-1,,, , ,"Nicotiana Benthamiana Hexapeptide-40 sh-Oligopeptide-1 is a fusion peptide of Hexapeptide-40 with a single chain recombinant human peptide, produced by  Nicotiana benthamiana  after using either a transient expression system or transgenesis (stable insertion of a copy of a human gene into its DNA). The starting human gene is synthesized to be identical to the human gene which codes for Epidermal Growth Factor. The fusion peptide contains a maximum of 59 amino acids, which may contain disulfide bonds and/or glycosylation. The protein consists of the proper sequence of the 20 standard amino acids",,SKIN CONDITIONING,4267100%
9463000%,NICOTIANA BENTHAMIANA HEXAPEPTIDE-40 SH-POLYPEPTIDE-2,,, , ,"Nicotiana Benthamiana Hexapeptide-40 sh-Polypeptide-2 is a fusion peptide of Hexapeptide-40 with a single chain recombinant human peptide, produced by  Nicotiana benthamiana  after using either a transient expression system or transgenesis (stable insertion of a copy of a human gene into its DNA). The starting human gene is synthesized to be identical to the human gene which codes for Thioredoxin and contains a maximum of 105 amino acids. The fusion peptide contains 110 amino acids, which may contain disulfide bonds and/or glycosylation. The protein consists of the proper sequence of the 20 standard amino acids",,"HAIR CONDITIONING, SKIN CONDITIONING",4267100%
9391900%,NICOTIANA BENTHAMIANA HEXAPEPTIDE-40 SH-POLYPEPTIDE-5,,, 182212-66-4, ,Nicotiana Benthamiana Hexapeptide-40 sh-Polypeptide-5 is a fusion peptide of Hexapeptide-40 with a single chain recombinant human peptide produced by transgenic  Nicotiana benthamiana  after the transient expression or stable insertion of a copy of a human gene into its DNA. The starting human gene is synthesized to be identical to the human gene which codes for Transforming Growth Factor Beta-3 which contains a maximum of 412 amino acids and may contain disulfide bonds and/or glycosylation. The protein consists of the proper sequence of the 20 standard amino acids. ,,SKIN CONDITIONING,4253100%
9387800%,NICOTIANA BENTHAMIANA HEXAPEPTIDE-40 SH-POLYPEPTIDE-6,,, , ,"Nicotiana Benthamiana Hexapeptide-40 sh-Polypeptide-6 is a fusion peptide with Hexapeptide-40 and a single chain recombinant human peptide, produced by transgenic  Nicotiana benthamiana  after the transient expression or stable insertion of a copy of a human gene into its DNA. The starting human gene is synthesized to be identical to the human gene which codes for Interleukin 10. The fusion peptide contains a maximum of 166 amino acids, which may contain disulfide bonds and/or glycosylation. The protein consists of the proper sequence of the 20 standard amino acids.",,SKIN CONDITIONING,4253100%
9474500%,NICOTIANA BENTHAMIANA HEXAPEPTIDE-40 SH-POLYPEPTIDE-76,,, , ,Nicotiana Benthamiana Hexapeptide-40 sh-Polypeptide-76 is a fusion peptide of Hexapeptide-40 with a single chain recombinant human peptide produced by  Nicotiana benthamiana.  The starting human gene is synthesized to be identical to the human gene coding for Transforming Growth Factor Beta-2. ,,SKIN CONDITIONING,4270500%
9391700%,NICOTIANA BENTHAMIANA HEXAPEPTIDE-40 SH-POLYPEPTIDE-86,,, 117628-82-7, ,"Nicotiana Benthamiana Hexapeptide-40 sh-Polypeptide-86 is a fusion peptide of Hexapeptide-40 with a single chain recombinant human peptide, produced by transgenic  Nicotiana benthamiana  after the transient expression or stable insertion of a copy of a human gene into its DNA. The starting human gene is synthesized to be identical to the human gene which codes for Follistatin and contains a maximum of 344 amino acids. The fusion peptide contains 294 amino acids, which may contain disulfide bonds and/or glycosylation. The protein consists of the proper sequence of the 20 standard amino acids. ",,HAIR CONDITIONING,4253100%
9391800%,NICOTIANA BENTHAMIANA HEXAPEPTIDE-40 SH-POLYPEPTIDE-9,,, 127464-60-2, , Nicotiana Benthamiana Hexapeptide-40 sh-Polypeptide-9 is a fusion peptide of Hexapeptide-40 with a single chain recombinant human peptide produced by transgenic  Nicotiana benthamiana  after the transient expression or stable insertion of a copy of a human gene into its DNA. The starting human gene is synthesized to be identical to the human gene which codes for Vascular Endothelial Growth Factor A and contains a maximum of 412 amino acids and may contain disulfide bonds and/or glycosylation. The protein consists of the proper sequence of the 20 standard amino acids,,HAIR CONDITIONING,4254100%
9630200%,NICOTIANA BENTHAMIANA R-(S-CLOSTRIDIUM BOTULINUM POLYPEPTIDE-1 S-SPIDER OLIGOPEPTIDE-1 SH-OLIGOPEPTIDE-1),,, , ,"Nicotiana Benthamiana r-(s-Clostridium Botulinum Polypeptide-1 s-Spider Oligopeptide-1 sh-Oligopeptide-1) is a single chain recombinant protein produced by Nicotiana benthamiana after using either a transient expression system or transgenesis (stable insertion of a copy of the synthetic gene into its DNA). The starting gene is synthesized by the fusion of the genes from s-Clostridium Botulinum Polypeptide-1, s-Spider Oligopeptide-1, and sh-Oligopeptide-1. The peptide contains a maximum of 548 amino acids which may contain disulfide bonds and/or glycosylation. The fusion peptide consists of the proper sequence of the 20 standard amino acids.",,SKIN CONDITIONING,4358100%
9384400%,NICOTIANA BENTHAMIANA R-JELLYFISH POLYPEPTIDE-1,,, , ,Nicotiana Benthamiana r-Jellyfish Polypeptide-1 is a single chain recombinant  Aequorea victoria  (jellyfish) protein produced by transgenic  Nicotiana benthamiana  after the transient expression or stable insertion of a copy of a jellyfish gene into its DNA. The starting gene is directly isolated from a jellyfish cell which codes for green fluorescent protein. The protein contains 239 amino acids and consists of the proper sequence of the 20 standard amino acids.,,COLORANT,4242900%
9299300%,NICOTIANA BENTHAMIANA RH-OLIGOPEPTIDE-1,,, , ,"Nicotiana Benthamiana rh-Oligopeptide-1 is a single chain recombinant human peptide, produced by transgenic  Nicotiana benthamiana  after the transient expression or stable insertion of a copy of a human gene into its DNA. ",II/416,SKIN PROTECTING,4254200%
9473700%,NICOTIANA BENTHAMIANA SH-POLIPEDTIDE-45,,, , ,"Nicotiana Benthamiana sh-Polypeptide-45 is a single chain recombinant human peptide, produced by  Nicotiana benthamiana  after using either a transient expression system or transgenesis (stable insertion of a copy of a human gene into its DNA). The starting gene is synthesized to be identical to the human gene which codes for Granulocyte Macrophage Colony Stimulating Factor. It contains a maximum of 144 amino acids, which may contain disulfide bonds and/or glycosylation. The protein consists of the proper sequence of the 20 standard amino acids.",,SKIN CONDITIONING,4267100%
9473800%,NICOTIANA BENTHAMIANA SH-POLYPEDTIDE-7,,, , ,"Nicotiana Benthamiana sh-Polypeptide-7 is a single chain recombinant human peptide, produced by  Nicotiana benthamiana  after using either a transient expression system or transgenesis (stable insertion of a copy of a human gene into its DNA). The starting gene is synthesized to be identical to the human gene which codes for Somatotropin. It contains a maximum of 217 amino acids, which may contain disulfide bonds and/or glycosylation. The protein consists of the proper sequence of the 20 standard amino acids",,SKIN CONDITIONING,4267100%
9541300%,NICOTIANA BENTHAMIANA SH-POLYPEPTIDE-15 HEXAPEPTIDE-40,,, , ,Nicotiana Benthamiana sh-Polypeptide-15 Hexapeptide-40 is a fusion peptide of Hexapeptide-40 with a single chain recombinant human peptide produced by  Nicotiana benthamiana  after using either a transient expression system or transgenesis (stable insertion of a copy of a human gene into its DNA). The starting gene is synthesized to be identical to the human gene which codes for Tissue Inhibitor of Metalloproteinases-2 which contains a maximum of 220 amino acids. The fusion peptide contains 200 amino acids and may contain disulfide bonds and/or glycosylation. The protein consists of the proper sequence of the 20 standard amino acids. ,,SKIN CONDITIONING,4315100%
8709600%,NICOTIANA SYLVESTRIS LEAF CELL CULTURE,,, -, -,"Nicotiana Sylvestris Leaf Cell Culture is a suspension of the cultured leaf cells of Nicotiana sylvestris, Solanaceae",,SKIN CONDITIONING,4046600%
4088600%,NICOTIANA TABACUM FLOWER EXTRACT,,, 84961-66-0, 284-656-5,"Nicotiana Tabacum Flower Extract is an extract obtained from the flowers of the Tobacco, Nicotiana tabacum L., Solanaceae",,PERFUMING,4060400%
4088700%,NICOTIANA TABACUM FLOWER OIL,,, 84961-66-0, 284-656-5,"Nicotiana Tabacum Flower oil is an essential oil obtained from the flowers of the Tobacco, Nicotiana tabacum L., Solanaceae",,PERFUMING,4060400%
7742200%,NICOTIANA TABACUM LEAF EXTRACT,,, 84961-66-0, 284-656-5,"Nicotiana Tabacum Leaf Extract is an extract of the leaves of the Tobacco, Nicotiana tabacum L., Solanaceae",,"PERFUMING, SKIN CONDITIONING",4046600%
4088900%,NICOTIANA TABACUM LEAF OIL,,, 84961-66-0, 284-656-5,"Nicotiana Tabacum Leaf Oil is an essential oil obtained from the leaves of the Tobacco, Nicotiana tabacum L., Solanaceae",,PERFUMING,4060400%
5741000%,NICOTINALDEHYDE,,, 500-22-1, 207-900-4,3-Pyridinecarboxaldehyde,,ANTIMICROBIAL,4046600%
5741100%,NICOTINAMIDE ADENINE DINUCLEOTIDE,nadide,, 53-84-9, 200-184-4,"Adenosine 5'-(trihydrogen diphosphate), 5'->5'-ester with 3-(aminocarbonyl)-1-beta-D-ribofuranosylpyridinium hydroxide, inner salt",,SKIN CONDITIONING,4046600%
9454000%,NICOTINAMIDE MONONUCLEOTIDE,,, 1094-61-7, 214-136-5,"Niacinamide Mononucleotide,Niacinamide Ribonucleotide,Pyridinium, 3-(aminocarbonyl)-1-(5-O-phosphono-\b-D-ribofuranosyl)-, inner salt",,ANTIOXIDANT,4260000%
9097500%,NICOTINIC ACID ADENINE DINUCLEOTIDE PHOSPHATE,,, , ,Nicotinic Acid Adenine Dinucleotide Phosphate is the organic compound,,"SKIN CONDITIONING, SKIN PROTECTING",4164800%
9051600%,NICOTINOYL DIPEPTIDE-22,,, , ,Nicotinoyl Dipeptide-22 is the product obtained by the reaction of Niacin and Dipeptide-22. ,,SKIN CONDITIONING,4164800%
9051800%,NICOTINOYL DIPEPTIDE-23,,, , ,Nicotinoyl Dipeptide-23 is the product obtained by the reaction of Niacin and Dipeptide-23. ,,SKIN CONDITIONING,4164800%
9056900%,NICOTINOYL DIPEPTIDE-24,,, , ,"Nicotinoyl Dipeptide-24 is the synthetic peptide obtained by the reaction of Niacin and Dipeptide-24. 
",,SKIN CONDITIONING,4164800%
9091800%,NICOTINOYL DIPEPTIDE-26,,, , ,Nicotinoyl Dipeptide-26 is the product obtained by the reaction of Niacin and Dipeptide-26.,,SKIN CONDITIONING,4165900%
9022900%,NICOTINOYL HEXAPEPTIDE-44,,, , ,Nicotinoyl Hexapeptide-44 is the product obtained by the reaction of Niacin and Hexapeptide-44.,,"ANTIOXIDANT, SKIN PROTECTING",4148400%
9023400%,NICOTINOYL HEXAPEPTIDE-45,,, , ,"Nicotinoyl Hexapeptide-45 is the product obtained by the reaction of Niacin (q.v.) and Hexapeptide-45.
",,"ANTIOXIDANT, SKIN PROTECTING, UV FILTER",4148400%
9203400%,NICOTINOYL HEXAPEPTIDE-56,,, , ,Nicotinoyl Hexapeptide-56 is the product obtained by the reaction of Niacin and Hexapeptide-56.,,"ANTIOXIDANT, HAIR CONDITIONING, SKIN PROTECTING",4194100%
9023300%,NICOTINOYL OCTAPEPTIDE-13,,, , ,Nicotinoyl Octapeptide-13 is the product obtained by the reaction of Niacin and Octapeptide-13.,,"ANTIOXIDANT, SKIN PROTECTING",4165900%
9022600%,NICOTINOYL OCTAPEPTIDE-9,,, , ,Nicotinoyl Octapeptide-9 is the product obtained by the reaction of Niacin and Octapeptide-9.,,"ANTIOXIDANT, SKIN PROTECTING, UV FILTER",4165900%
9095700%,NICOTINOYL PEG-4 ETHYLASCORBYL SUCCINATE,,, , ,Nicotinoyl PEG-4 Ethylascorbyl Succinate is the organic compound.,,"ANTI-SEBUM, ANTIOXIDANT, HAIR CONDITIONING",4165900%
9044200%,NICOTINOYL PEG-5 TOCOPHERYL SUCCINATE,,, , ,Nicotinoyl PEG-5 Tocopheryl Succinate is the organic compound ,,"ANTI-SEBUM, ANTIOXIDANT",4165900%
8580800%,NICOTINOYL PENTAPEPTIDE-20,,, -, -,Nicotinoyl Pentapeptide-20 is the product obtained by the reaction of Niacin and Pentapeptide-20 ,,SKIN CONDITIONING,4046600%
9026700%,NICOTINOYL PENTAPEPTIDE-33,,, , ,Nicotinoyl Pentapeptide-33 is the product obtained by the reaction of Niacin  and Pentapeptide-33. ,,"ANTIOXIDANT, SKIN PROTECTING",4165900%
9320200%,NICOTINOYL PENTAPEPTIDE-44,,, , ,Nicotinoyl Pentapeptide-44 is the product obtained by the reaction of Niacin and Pentapeptide-44,,SKIN PROTECTING,4230000%
9320100%,NICOTINOYL PENTAPEPTIDE-46,,, , ,Nicotinoyl Pentapeptide-46 is the product obtained by the reaction of Niacin and Pentapeptide-46 ,,SKIN PROTECTING,4230000%
9598200%,NICOTINOYL S-ALLYLCYSTEINE,,, , , Nicotinoyl S-Allylcysteine is the organic compound that conforms to the formula.,,BLEACHING,4322000%
8574100%,NICOTINOYL SH-DECAPEPTIDE-9,,, -, -,Nicotinoyl sh-Decapeptide-9 is the reaction product of Niacin and sh-Decapeptide-9,,"SKIN CONDITIONING, SKIN PROTECTING",4046600%
9447100%,NICOTINOYL SH-NONAPEPTIDE-3,,, , ,Nicotinoyl sh-Nonapeptide-3 is the product obtained by the reaction of Niacin and sh-Nonapeptide-3 ,,"BLEACHING, HUMECTANT, NAIL CONDITIONING, SKIN PROTECTING",4260000%
8580300%,NICOTINOYL SH-PENTAPEPTIDE-19,,, -, -,Nicotinoyl sh-Pentapeptide-19 is the product obtained by the reaction of Niacin and sh-Pentapeptide-19 ,,SKIN CONDITIONING,4046600%
9447000%,NICOTINOYL SH-PENTAPEPTIDE-4,,, , ,Nicotinoyl sh-Pentapeptide-4 is the product obtained by the reaction of Niacin and sh-Pentapeptide-4 ,,"BLEACHING, HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING",4260000%
9707700%,NICOTINOYL TRANEXAMIC ACID,,, , ,Nicotinoyl Tranexamic Acid is the organic compound that conforms to the formula:,,"SKIN CONDITIONING, SKIN PROTECTING",4358100%
8595000%,NICOTINOYL TRIPEPTIDE-1,,, -, -,Nicotinoyl Tripeptide-1 is the product obtained by the reaction of Niacin with Tripeptide-1 ,,"ANTIOXIDANT, CHELATING, SKIN PROTECTING",4046600%
9146200%,NICOTINOYL TRIPEPTIDE-35,,, , ,Nicotinoyl Tripeptide-35 is the product obtained by the reaction of Niacin and Tripeptide-35.,,ANTIOXIDANT,4194100%
9448100%,NICOTINOYL TRIPEPTIDE-47,,, , ,Nicotinoyl Tripeptide-47 is the product obtained by the reaction of Niacin nd Tripeptide-47 ,,SKIN CONDITIONING,4260000%
9448200%,NICOTINOYL TRIPEPTIDE-48,,, , ,Nicotinoyl Tripeptide-48 is the product obtained by the reaction of Niacin and Tripeptide-48,,SKIN CONDITIONING,4260000%
3550300%,NICOTINYL ALCOHOL,,, 100-55-0, 202-864-6,3-Pyridylmethanol,,TONIC,4046600%
9094700%,NICOTINYL ALCOHOL HF,,, 62756-44-9, 700-352-1 (L),"3-Pyridinemethanol, hydrofluoride (1:1)",,ANTIPLAQUE,4165900%
3550400%,NICOTINYL TARTRATE,,, 6164-87-0, 228-199-1,"3-Hydroxypyridinium hydrogen [R-(R*,R*)]-tartrate",,SKIN CONDITIONING,4046600%
8393600%,NICTOFLORIN,,, 17650-84-9, -,Kaempferol-3-O-β-D-Rutinoside ,,"ANTIOXIDANT, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING",4046600%
9524700%,NIFEDIPINE,,, 21829-25-4, ,"3,5-Pyridinedicarboxylic acid, 1,4-dihydro-2,6-dimethyl-4-(2-nitrophenyl)-, 3,5-dimethyl ester",,ANTIOXIDANT,4315100%
5741200%,NIGELLA DAMASCENA COTYLEDON EXTRACT,,, 90064-31-6, 290-093-6,"Nigella Damascena Cotyledon Extract is an extract of the cotyledons of the Love-in-a-Mist, Nigella damascena L., Ranunculaceae",,"MOISTURISING, SKIN CONDITIONING",4046600%
9824800%,NIGELLA DAMASCENA SEED EXTRACT,,, , ,Nigella Damascena Seed Extract is the extract of the seeds of Nigella damascena. ,,SKIN CONDITIONING,4401900%
8559800%,NIGELLA DAMASCENA SEED POWDER,,, 90064-31-6, 290-093-6,"Nigella Damascena Seed Powder is the powder obtained from the dried, ground seeds of Nigella damascena L., Ranunculaceae",,ABRASIVE,4046600%
7742500%,NIGELLA SATIVA SEED EXTRACT,,, 90064-32-7, 290-094-1,"Nigella Sativa Seed Extract is an extract of the seeds of the Black Caraway, Nigella sativa L., Ranunculaceae",,"PERFUMING, SKIN CONDITIONING",4046600%
7742600%,NIGELLA SATIVA SEED OIL,,, 90064-32-7, 290-094-1,"Nigella Sativa Seed Oil is the fixed oil expressed from the seeds of Black Caraway, Nigella sativa L., Ranunculaceae",,"PERFUMING, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4046600%
8734800%,NIGERO OLIGOSACCHARIDES,,, -, - ,"Nigero Oligosaccharides is a mixture of the alpha-1,3-linked gluco-oligomer nigerose, nigerosyl glucose and nigerosyl maltose",,HUMECTANT,4046600%
5741300%,NINHYDRIN,,, 485-47-2, 207-618-1,"2,2-Dihydroxy-1H-indene-1,3-(2H)-dione",,REDUCING,4046600%
